Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2481417,imr,COUNTRY,PAN,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_PANMICS201305,2013,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T14:38:48+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
2481858,imr,COUNTRY,NGA,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,2016,,,,,DATASOURCE,DATASOURCE_EQ_MICS,56.3 [51.0-61.7],56.34937,51.00931,61.68943,,2022-05-26T13:00:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2482320,imr,COUNTRY,SDN,EMR,YEAR,Eastern Mediterranean,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,53.7 [46.6-60.9],53.74283,46.63474,60.85093,,2022-05-26T11:24:27+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2483203,imr,COUNTRY,KEN,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_KENDHS200304,2003,,,,,DATASOURCE,DATASOURCE_EQ_DHS,56.1 [39.5-72.6],56.05235,39.52113,72.58358,,2022-05-26T14:30:43+02:00,2003,2003-01-01T00:00:00+01:00,2003-12-31T00:00:00+01:00
2483338,imr,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,15.0 [5.2-24.8],15.02918,5.22368,24.83468,,2022-05-26T12:34:41+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2483433,imr,COUNTRY,SLE,AFR,YEAR,Africa,EDUCATIONLEVEL,EDUCATIONLEVEL_NHLM,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:24:14+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2483787,imr,COUNTRY,BLZ,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:58:59+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2484607,imr,COUNTRY,LSO,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_LSODHS201407,2014,,,,,DATASOURCE,DATASOURCE_EQ_DHS,71.4 [42.1-100.6],71.3726,42.12207,100.62315,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death,2022-05-26T14:31:56+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2484799,imr,COUNTRY,SUR,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE02,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T12:32:38+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2485225,imr,COUNTRY,DOM,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,1996,,,,,DATASOURCE,DATASOURCE_EQ_DHS,35.4 [20.8-50.0],35.39894,20.76347,50.0344,,2022-05-26T12:05:56+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2487305,imr,COUNTRY,MRT,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_MRTMICS201505,2015,,,,,DATASOURCE,DATASOURCE_EQ_MICS,29.5 [20.6-38.3],29.47408,20.61663,38.33154,,2022-05-26T14:34:12+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2488040,imr,COUNTRY,CMR,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_CMRDHS201105,2011,,,,,DATASOURCE,DATASOURCE_EQ_DHS,85.5 [74.7-96.3],85.49562,74.66181,96.32943,,2022-05-26T14:16:16+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
